release_date_raw,time,actual,forecast,previous
"Feb 01, 2004 (Jan)",4:00,70.6,,71.3
"Jan 01, 2004 (Dec)",4:00,71.3,,69.1
"Dec 01, 2003 (Nov)",4:00,69.1,,64.4
"Nov 01, 2003 (Oct)",4:00,64.4,,60.8
"Oct 01, 2003 (Sep)",5:00,60.8,,61.1
"Sep 01, 2003 (Aug)",5:00,61.1,,56.8
"Aug 01, 2003 (Jul)",5:00,56.8,,53.6
"Jul 01, 2003 (Jun)",5:00,53.6,,53.4
"Jun 01, 2003 (May)",5:00,53.4,,47.2
"May 01, 2003 (Apr)",5:00,47.2,,47.2
"Apr 01, 2003 (Mar)",4:00,47.2,,51.9
"Mar 01, 2003 (Feb)",4:00,51.9,,58.2
"Feb 01, 2003 (Jan)",4:00,58.2,,58.7
"Jan 01, 2003 (Dec)",4:00,58.7,,49.9
"Dec 01, 2002 (Nov)",4:00,49.9,,52.1
"Nov 01, 2002 (Oct)",4:00,52.1,,52.9
"Oct 01, 2002 (Sep)",5:00,52.9,,50.6
"Sep 01, 2002 (Aug)",5:00,50.6,,51.9
"Aug 01, 2002 (Jul)",5:00,51.9,,61.2
"Jul 01, 2002 (Jun)",5:00,61.2,,61.8
"Jun 01, 2002 (May)",5:00,61.8,,59.9
"May 01, 2002 (Apr)",5:00,59.9,,63.8
"Apr 01, 2002 (Mar)",4:00,63.8,,60.7
"Mar 01, 2002 (Feb)",4:00,60.7,,55.2
"Feb 01, 2002 (Jan)",4:00,55.2,,51.4
"Jan 01, 2002 (Dec)",4:00,51.4,,49.1
"Dec 01, 2001 (Nov)",4:00,49.1,,38.9
"Nov 01, 2001 (Oct)",4:00,38.9,,51.3
"Oct 01, 2001 (Sep)",5:00,51.3,,54.3
"Sep 01, 2001 (Aug)",5:00,54.3,,49.2
"Aug 01, 2001 (Jul)",5:00,49.2,,47.8
"Jul 01, 2001 (Jun)",5:00,47.8,,44.9
"Jun 01, 2001 (May)",5:00,44.9,,45.5
"May 01, 2001 (Apr)",5:00,45.5,,41.5
"Apr 01, 2001 (Mar)",5:00,41.5,,39.9
"Mar 01, 2001 (Feb)",4:00,39.9,,38.4
"Feb 01, 2001 (Jan)",4:00,38.4,,42.1
"Jan 01, 2001 (Dec)",4:00,42.1,,49.1
"Dec 01, 2000 (Nov)",4:00,49.1,,48.4
"Nov 01, 2000 (Oct)",4:00,48.4,,48.9
"Oct 01, 2000 (Sep)",5:00,48.9,,50
"Sep 01, 2000 (Aug)",5:00,50,,52
"Aug 01, 2000 (Jul)",5:00,52,,50
"Jul 01, 2000 (Jun)",5:00,50,,51.5
"Jun 01, 2000 (May)",5:00,51.5,,55.4
"May 01, 2000 (Apr)",5:00,55.4,,56.2
"Apr 01, 2000 (Mar)",4:00,56.2,,58.7
"Mar 01, 2000 (Feb)",4:00,58.7,,60.4
"Feb 01, 2000 (Jan)",4:00,60.4,,60.3
"Jan 01, 2000 (Dec)",4:00,60.3,,63.1
"Dec 01, 1999 (Nov)",4:00,63.1,,61.3
"Nov 01, 1999 (Oct)",4:00,61.3,,63.5
"Oct 01, 1999 (Sep)",5:00,63.5,,57.5
"Sep 01, 1999 (Aug)",5:00,57.5,,54.6
"Aug 01, 1999 (Jul)",5:00,54.6,,59.4
"Jul 01, 1999 (Jun)",5:00,59.4,,57.8
"Jun 01, 1999 (May)",5:00,57.8,,54
"May 01, 1999 (Apr)",5:00,54,,55.9
"Apr 01, 1999 (Mar)",4:00,55.9,,55
"Mar 01, 1999 (Feb)",4:00,55,,52.4
"Feb 01, 1999 (Jan)",4:00,52.4,,49.7
"Jan 01, 1999 (Dec)",4:00,49.7,,48.3
"Dec 01, 1998 (Nov)",4:00,48.3,,48
"Nov 01, 1998 (Oct)",4:00,48,,49.4
"Oct 01, 1998 (Sep)",5:00,49.4,,50.9
"Sep 01, 1998 (Aug)",5:00,50.9,,51.8
"Aug 01, 1998 (Jul)",5:00,51.8,,50.2
"Jul 01, 1998 (Jun)",5:00,50.2,,51.5
"Jun 01, 1998 (May)",5:00,51.5,,55.3
"May 01, 1998 (Apr)",5:00,55.3,,54.9
"Apr 01, 1998 (Mar)",4:00,54.9,,54.6
"Mar 01, 1998 (Feb)",4:00,54.6,,57.1
"Feb 01, 1998 (Jan)",4:00,57.1,,57.2
"Jan 01, 1998 (Dec)",4:00,57.2,,57.4
"Dec 01, 1997 (Nov)",4:00,57.4,,60.9
"Nov 01, 1997 (Oct)",4:00,60.9,,55.4
"Oct 01, 1997 (Sep)",5:00,55.4,,60.3
"Sep 01, 1997 (Aug)",5:00,60.3,,61.3
"Aug 01, 1997 (Jul)",5:00,61.3,,59.4
